Category,Buses: 2017-18,Buses: 2016-17,Buses: 2015-16,Buses: 2014-15,Light Motor Vehicles: 2017-18,Light Motor Vehicles: 2016-17,Light Motor Vehicles: 2015-16,Light Motor Vehicles: 2014-15,Goods Carrier Vehicles: 2017-18,Goods Carrier Vehicles: 2016-17,Goods Carrier Vehicles: 2015-16,Goods Carrier Vehicles: 2014-15,Two-Wheeler Vehicles: 2017-18,Two-Wheeler Vehicles: 2016-17,Two-Wheeler Vehicles: 2015-16,Two-Wheeler Vehicles: 2014-15,Four-Wheeler Vehicles: 2017-18,Four-Wheeler Vehicles: 2016-17,Four-Wheeler Vehicles: 2015-16,Four-Wheeler Vehicles: 2014-15,Miscellaneous: 2017-18,Miscellaneous: 2016-17,Miscellaneous: 2015-16,Miscellaneous: 2014-15
Bengaluru,46865,43273,41227,37879,220334,206936,195624,178485,248707,230413,214238,196391,5171605,4764681,4290041,3866923,1593276,1468281,1297212,1155915,175259,167564,162456,160842
Chennai,3577,3887,3951,3888,949978,902334,838972,785260,99574,99438,97873,93354,3999354,3784818,3509159,3282475,NA,NA,NA,NA,10225,9984,9568,9296
Pune,2564,2281,2186,1604,673251,611092,548727,505326,175820,163957,144299,132372,2703147,2497343,2317670,2152911,673251,611092,548727,505326,71722,61811,58245,56425
Ahmedabad,NA,NA,NA,NA,57540,47566,42308,39759,3951,1293,1199,1095,189325,150589,136991,134350,NA,NA,NA,NA,10402,6190,2849,2819
Nagpur,2178,1460,1586,2098,1585,1891,1952,1606,4058,3089,3114,2607,45686,41937,41676,40622,3898,4133,3535,3332,351,171,321,163
Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 28336,27128,27375,27476, 17967,16952,17311,17442,NA,NA,NA,NA
Indore ,2321,2206,2199,9002,67457,60659,61095,60631,2456,1892,1607,2127,126251,124129,118193,135741,67457,60659,61095,60631,NA,NA,NA,NA
Visakhapatnam,1073,NA,NA,NA,155701,86919,79345,72390,52918,24843,23158,21462,1012960,606616,568108,530545,155701,86919,79345,72390,NA,NA,NA,NA
Lucknow,165,46,26,0,2948,1239,2117,1965,601,1316,265,81,131597,118696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agra,154,83,78,46,2281,3575,907,474,1281,15802,1151,1332,57877,62844,63545,74984,10686,8983,9876,9930,2400,2708,2755,3744
